"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","975","Нельзя создать курьера без логина","tests","2026-09-21","passed","2026-09-21","TestCreateCourier","test_create_courier","",""
"","1020","Создание заказа с разными вариантами цвета","tests","2026-09-21","passed","2026-09-21","TestCreateOrder","test_create_order","",""
"","1054","Авторизация без логина","tests","2026-09-21","passed","2026-09-21","TestCourierLogin","test_login","",""
"","3120","Нельзя создать курьера с уже существующим логином","tests","2026-09-21","passed","2026-09-21","TestCreateCourier","test_create_courier","",""
"","1137","Нельзя создать курьера без пароля","tests","2026-09-21","passed","2026-09-21","TestCreateCourier","test_create_courier","",""
"","925","Создание заказа с разными вариантами цвета","tests","2026-09-21","passed","2026-09-21","TestCreateOrder","test_create_order","",""
"","1994","Создание нового курьера","tests","2026-09-21","passed","2026-09-21","TestCreateCourier","test_create_courier","",""
"","1101","Авторизация с неверным логином","tests","2026-09-21","passed","2026-09-21","TestCourierLogin","test_login","",""
"","925","Создание заказа с разными вариантами цвета","tests","2026-09-21","passed","2026-09-21","TestCreateOrder","test_create_order","",""
"","1230","Успешная авторизация курьера","tests","2026-09-21","passed","2026-09-21","TestCourierLogin","test_login","",""
"","15850","Получение списка заказов","tests","2026-09-21","passed","2026-09-21","TestGetOrders","test_get_orders","",""
"","1013","Авторизация с неверным паролем","tests","2026-09-21","passed","2026-09-21","TestCourierLogin","test_login","",""
"","916","Создание заказа с разными вариантами цвета","tests","2026-09-21","passed","2026-09-21","TestCreateOrder","test_create_order","",""
